movie_id,name en,name it,name de,first_release,actors
Q116187,Thieves and Robbers,Cane e gatto,"Bud, der Ganovenschreck",1983,Bud Spencer
Q180638,Odds and Evens,Pari e dispari,Zwei sind nicht zu bremsen,1978,Bud Spencer and Terence Hill
Q231967,A Friend Is a Treasure,"Chi trova un amico, trova un tesoro",Zwei Asse trumpfen auf,1981,Bud Spencer and Terence Hill
Q232044,"All the Way, Boys",...più forte ragazzi!,Zwei Himmelhunde auf dem Weg zur Hölle,1972,Bud Spencer and Terence Hill
Q232083,Two Missionaries,Porgi l'altra guancia,Zwei Missionare,1974,Bud Spencer and Terence Hill
Q232166,Crime Busters,I due superpiedi quasi piatti,Zwei außer Rand und Band,1977,Bud Spencer and Terence Hill
Q232175,Go for It,Nati con la camicia,Zwei bärenstarke Typen,1983,Bud Spencer and Terence Hill
Q232261,"Watch Out, We're Mad!",...altrimenti ci arrabbiamo!,Zwei wie Pech und Schwefel,1974,Bud Spencer and Terence Hill
Q250628,Mr. Billion,Mister Miliardo,Mister Billion,1977,Terence Hill
Q256901,The Man who Dreamt with Eagles,L'uomo che sognava con le aquile,L'uomo che sognava con le aquile,2005,Terence Hill
Q316151,Old Surehand,Surehand - Mano veloce,Old Surehand 1. Teil,1965,Terence Hill
Q324529,Beyond the Law,Al di là della legge,Die letzte Rechnung zahlst du selbst,1968,Bud Spencer
Q467379,They Call Me Renegade,Renegade - Un osso troppo duro,Renegade,1987,Terence Hill
Q471775,The Wind's Fierce,La collera del vento,Der Teufel kennt kein Halleluja,1970,Terence Hill
Q473803,Lo chiamavano Bulldozer,Lo chiamavano Bulldozer,Sie nannten ihn Mücke,1978,Bud Spencer
Q473829,Troublemakers,Botte di Natale,Die Troublemaker,1994,Bud Spencer and Terence Hill
Q521876,Last of the Renegades,Giorni di fuoco,Winnetou 2. Teil,1964,Terence Hill
Q521907,"A Genius, Two Partners and a Dupe","Un genio, due compari, un pollo",Nobody ist der Größte,1975,Terence Hill
Q548277,Charleston,Charleston,Charleston – Zwei Fäuste räumen auf,1977,Bud Spencer
Q555722,Boot Hill,La collina degli stivali,Hügel der blutigen Stiefel,1969,Bud Spencer and Terence Hill
Q558927,Superfantagenio,Superfantagenio,Aladin,1986,Bud Spencer
Q587854,Flatfoot in Egypt,Piedone d'Egitto,Plattfuß am Nil,1980,Bud Spencer
Q589001,Trinity Is Still My Name,...continuavano a chiamarlo Trinità,Vier Fäuste für ein Halleluja,1971,Bud Spencer and Terence Hill
Q596199,Banana Joe,Banana Joe,Banana Joe,1982,Bud Spencer
Q596623,The Leopard,Il Gattopardo,Der Leopard,1963,Terence Hill
Q597579,Double Trouble,Non c'è due senza quattro,Vier Fäuste gegen Rio,1984,Bud Spencer and Terence Hill
Q598709,They Call Me Trinity,Lo chiamavano Trinità...,Die rechte und die linke Hand des Teufels,1970,Bud Spencer and Terence Hill
Q622201,Four Flies on Grey Velvet,4 mosche di velluto grigio,Vier Fliegen auf grauem Samt,1971,Bud Spencer
Q638356,"A Reason to Live, a Reason to Die",Una ragione per vivere e una per morire,Sie verkaufen den Tod,1972,Bud Spencer
Q668928,The Sheriff and the Satellite Kid,Uno sceriffo extraterrestre... poco extra e molto terrestre,Der Große mit seinem außerirdischen Kleinen,1979,Bud Spencer
Q694040,Flatfoot in Africa,Piedone l'africano,Plattfuß in Afrika,1978,Bud Spencer
Q736144,Man of the East,...E poi lo chiamarono il Magnifico,"Verflucht, verdammt und Halleluja",1972,Terence Hill
Q751099,Lucky Luke,Lucky Luke,Lucky Luke,1991,Terence Hill
Q758591,Even Angels Eat Beans,Anche gli angeli mangiano fagioli,Auch die Engel essen Bohnen,1973,Bud Spencer
Q780835,Buddy Goes West,Occhio alla penna,Eine Faust geht nach Westen,1981,Bud Spencer
Q785492,Rampage at Apache Wells,Danza di guerra per Ringo,Der Ölprinz,1965,Terence Hill
Q822995,Duel at Sundown,Sparate a vista su Killer Kid,Duell vor Sonnenuntergang,1965,Terence Hill
Q825322,Black Turin,Torino nera,Der Sizilianer,1972,Bud Spencer
Q826950,Mord ist mein Geschäft,"Tesoro, sono un killer","Mord ist mein Geschäft, Liebling",2009,Bud Spencer
Q840565,Preparati la bara!,Preparati la bara!,Django und die Bande der Gehenkten,1967,Terence Hill
